model,scope_type,scope_value,dates,nominal_coverage,metric,point_estimate,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
rbf,decision_rule,12h_prior,365,0.8,empirical_coverage,0.7671232876712328,circular_moving_block,14.0,0.7095890410958904,0.8191780821917808,10000,20263203,settlement_date
rbf,decision_rule,12h_prior,365,0.8,mean_interval_width_c,3.676649710702164,circular_moving_block,14.0,3.6233352016183953,3.728319642492587,10000,20263203,settlement_date
rbf,decision_rule,12h_prior,365,0.9,empirical_coverage,0.863013698630137,circular_moving_block,14.0,0.8082191780821918,0.9123287671232877,10000,20263203,settlement_date
rbf,decision_rule,12h_prior,365,0.9,mean_interval_width_c,4.718928815875312,circular_moving_block,14.0,4.65050038428247,4.785246455363886,10000,20263203,settlement_date
rbf,decision_rule,6h_prior,365,0.5,empirical_coverage,0.4575342465753425,ordinary_date,,0.4054794520547945,0.5095890410958904,10000,20263803,settlement_date
rbf,decision_rule,6h_prior,365,0.5,mean_interval_width_c,1.9330075470850996,ordinary_date,,1.9248945746238366,1.9411625500304321,10000,20263803,settlement_date
rbf,decision_rule,6h_prior,365,0.8,empirical_coverage,0.7726027397260274,ordinary_date,,0.7287671232876712,0.8136986301369863,10000,20263803,settlement_date
rbf,decision_rule,6h_prior,365,0.8,mean_interval_width_c,3.672774638096833,ordinary_date,,3.657359737342703,3.688269398081806,10000,20263803,settlement_date
rbf,decision_rule,6h_prior,365,0.9,empirical_coverage,0.8547945205479452,ordinary_date,,0.8164383561643835,0.8904109589041096,10000,20263803,settlement_date
rbf,decision_rule,6h_prior,365,0.9,mean_interval_width_c,4.713955214031308,ordinary_date,,4.6941704031066305,4.733842523169114,10000,20263803,settlement_date
rbf,decision_rule,6h_prior,365,0.5,empirical_coverage,0.4575342465753425,circular_moving_block,3.0,0.40273972602739727,0.5123287671232877,10000,20263903,settlement_date
rbf,decision_rule,6h_prior,365,0.5,mean_interval_width_c,1.9330075470850996,circular_moving_block,3.0,1.9193636322164156,1.9464460873388465,10000,20263903,settlement_date
rbf,decision_rule,6h_prior,365,0.8,empirical_coverage,0.7726027397260274,circular_moving_block,3.0,0.7205479452054795,0.8246575342465754,10000,20263903,settlement_date
rbf,decision_rule,6h_prior,365,0.8,mean_interval_width_c,3.672774638096833,circular_moving_block,3.0,3.6468507742352427,3.6983082837835424,10000,20263903,settlement_date
rbf,decision_rule,6h_prior,365,0.9,empirical_coverage,0.8547945205479452,circular_moving_block,3.0,0.810958904109589,0.8986301369863013,10000,20263903,settlement_date
rbf,decision_rule,6h_prior,365,0.9,mean_interval_width_c,4.713955214031308,circular_moving_block,3.0,4.680682294982433,4.746727293474899,10000,20263903,settlement_date
rbf,decision_rule,6h_prior,365,0.5,empirical_coverage,0.4575342465753425,circular_moving_block,5.0,0.4,0.5178082191780822,10000,20264003,settlement_date
rbf,decision_rule,6h_prior,365,0.5,mean_interval_width_c,1.9330075470850996,circular_moving_block,5.0,1.915585476095752,1.949349877006393,10000,20264003,settlement_date
rbf,decision_rule,6h_prior,365,0.8,empirical_coverage,0.7726027397260274,circular_moving_block,5.0,0.7178082191780822,0.8246575342465754,10000,20264003,settlement_date
