model,scope_type,scope_value,stratification_variable,quartile,rows,dates,variable_minimum,variable_maximum,variable_mean,mean_squared_standardised_residual,mean_absolute_standardised_residual,central_90_empirical_coverage,mean_crps_c
rbf,decision_rule,event_day_open,predictive_standard_deviation_c,Q4,91,91,1.4069161102,1.4141198099,1.410818678487912,1.0281924362683679,0.8526559809328016,0.8901098901098901,0.8243639165901099
matern,overall,all_dates,predictive_standard_deviation_c,Q1,365,187,1.2091510145,1.4161248651,1.3499850452342466,1.0525332253155801,0.7991436538356896,0.8931506849315068,0.7686356988983561
matern,overall,all_dates,predictive_standard_deviation_c,Q2,365,262,1.4161300167,1.4638459651,1.4399962441986303,1.0599369960110505,0.820575894593563,0.915068493150685,0.83329621126
matern,overall,all_dates,predictive_standard_deviation_c,Q3,365,204,1.464043086,1.5079307639,1.4819539081775344,1.2488654575761025,0.9304747655322332,0.8410958904109589,0.9554563817276713
matern,overall,all_dates,predictive_standard_deviation_c,Q4,365,248,1.5104977561,1.5795672901,1.5470530465841097,1.0342671550491296,0.8318453215846948,0.873972602739726,0.8959717039484929
matern,decision_rule,24h_prior,predictive_standard_deviation_c,Q1,92,92,1.3483476093,1.4490072182,1.4369522173749998,1.3828385975710655,0.922048649154173,0.8695652173913043,0.943070216246739
matern,decision_rule,24h_prior,predictive_standard_deviation_c,Q2,91,91,1.4490072182,1.5184757736,1.5038652772307695,0.9587492280997069,0.8315408889377923,0.9230769230769231,0.847877728108791
matern,decision_rule,24h_prior,predictive_standard_deviation_c,Q3,91,91,1.5184757736,1.5584630563,1.5447716982923074,1.3403748066611654,0.9502856288382355,0.7802197802197802,1.0341136882098902
matern,decision_rule,24h_prior,predictive_standard_deviation_c,Q4,91,91,1.5584630568,1.5795672901,1.5742039829197803,0.933929873246396,0.7901596515487441,0.9120879120879121,0.8652500928505495
matern,decision_rule,12h_prior,predictive_standard_deviation_c,Q1,92,92,1.2378262275,1.4309891453,1.3554158572728259,1.1127606356775246,0.8114573187065331,0.8804347826086957,0.7901929428402172
matern,decision_rule,12h_prior,predictive_standard_deviation_c,Q2,91,91,1.4316933771,1.4746000569,1.4595170384637361,1.0722021722910993,0.7909656242718669,0.8791208791208791,0.8376385711670331
matern,decision_rule,12h_prior,predictive_standard_deviation_c,Q3,91,91,1.474725931,1.497327394,1.4828688672758243,1.4251847798010275,1.0122109432078314,0.8021978021978022,1.039927328408791
matern,decision_rule,12h_prior,predictive_standard_deviation_c,Q4,91,91,1.4975886306,1.5595405917,1.5292722642395602,0.897804151248025,0.7899217050867932,0.9120879120879121,0.826467739889011
matern,decision_rule,6h_prior,predictive_standard_deviation_c,Q1,92,92,1.2396979866,1.4302921174,1.3579796971043478,1.1105653520605692,0.8081565517271977,0.8586956521739131,0.7845233708086958
matern,decision_rule,6h_prior,predictive_standard_deviation_c,Q2,91,91,1.4307091568,1.4725525474,1.4597378635175826,1.014621859499347,0.8030547470615321,0.8901098901098901,0.8315984247296703
matern,decision_rule,6h_prior,predictive_standard_deviation_c,Q3,91,91,1.4726028675,1.4915162128,1.4846901809153847,1.524360198857025,1.016985255632289,0.7802197802197802,1.067503729434066
matern,decision_rule,6h_prior,predictive_standard_deviation_c,Q4,91,91,1.4915269325,1.5569927329,1.5249762809318683,0.8601634055393295,0.7709852904252865,0.9230769230769231,0.805547131345055
matern,decision_rule,event_day_open,predictive_standard_deviation_c,Q1,92,92,1.2091510145,1.3651033494,1.2973951094728258,0.9498918802898524,0.7714742776447239,0.9347826086956522,0.7018293270673913
matern,decision_rule,event_day_open,predictive_standard_deviation_c,Q2,91,91,1.3676859427,1.4154292299,1.3972351489857142,0.8710127310879701,0.738549956744081,0.9230769230769231,0.7334342406417582
matern,decision_rule,event_day_open,predictive_standard_deviation_c,Q3,91,91,1.4154311232,1.4321275903,1.4225884307142858,1.243102593586894,0.9468178023839583,0.9010989010989011,0.9276863072857142
matern,decision_rule,event_day_open,predictive_standard_deviation_c,Q4,91,91,1.4324824752,1.4696742447,1.4485626814395605,0.8830858435690556,0.774301424861086,0.9230769230769231,0.7793477612153846
