model,scope,scope_value,stratification_variable,quartile,rows,dates,variable_minimum,variable_maximum,variable_mean,mean_squared_standardised_residual,mean_absolute_standardised_residual,central_90_empirical_coverage,mean_crps_c
rbf,decision_rule,12h_prior,forecast_daily_max_c,Q4,91,91,29.3,33.5,30.725274725274726,1.1168553521624232,0.8533989882652498,0.8461538461538461,0.8631924950912088
rbf,decision_rule,6h_prior,predictive_standard_deviation_c,Q1,92,92,1.2428032039,1.4157694039,1.3525335153815217,1.167073789053697,0.8352156742394747,0.8586956521739131,0.8046133035673912
rbf,decision_rule,6h_prior,predictive_standard_deviation_c,Q2,91,91,1.4163465606,1.4473971334,1.4288286564637362,1.1389653161903777,0.822371188774381,0.8901098901098901,0.8456797209098901
rbf,decision_rule,6h_prior,predictive_standard_deviation_c,Q3,91,91,1.4474914792,1.4709673295,1.4573103400153846,1.522055816675366,1.0488234688807285,0.7582417582417582,1.0631580099934066
rbf,decision_rule,6h_prior,predictive_standard_deviation_c,Q4,91,91,1.4709674267,1.5075905221,1.4939736382956044,0.9533388454871593,0.8126764089507004,0.9120879120879121,0.8304246486428571
rbf,decision_rule,6h_prior,temperature_predictive_mean_c,Q1,92,92,14.7541456707,23.8097489818,21.252039809976086,1.0165386231934292,0.7906367029919189,0.9021739130434783,0.8074657543315217
rbf,decision_rule,6h_prior,temperature_predictive_mean_c,Q2,91,91,23.9599460876,28.1302221945,26.329908545583518,1.52510386868673,0.9968643029315957,0.8131868131868132,1.0120977600857144
rbf,decision_rule,6h_prior,temperature_predictive_mean_c,Q3,91,91,28.1463120885,31.2514592282,29.79379725247912,1.1327722454920999,0.8777568272258325,0.8681318681318682,0.8715750331219779
rbf,decision_rule,6h_prior,temperature_predictive_mean_c,Q4,91,91,31.2528730989,35.1019966383,32.59993922084505,1.1086732626262117,0.8543187865008559,0.8351648351648352,0.8527057899615386
rbf,decision_rule,6h_prior,forecast_daily_max_c,Q1,92,92,13.5,22.3,19.74891304347826,1.1177313847398778,0.8200479548320303,0.8913043478260869,0.8400857259413044
rbf,decision_rule,6h_prior,forecast_daily_max_c,Q2,91,91,22.6,26.6,24.886813186813185,1.4152791277216294,0.9635736659640316,0.8241758241758241,0.9762149735813187
rbf,decision_rule,6h_prior,forecast_daily_max_c,Q3,91,91,26.8,29.3,28.197802197802197,1.0760429662948057,0.857667339636462,0.8791208791208791,0.8436365887384616
rbf,decision_rule,6h_prior,forecast_daily_max_c,Q4,91,91,29.3,33.5,30.747252747252748,1.1729225128735161,0.8779644586480074,0.8241758241758241,0.8835485880131868
rbf,decision_rule,event_day_open,predictive_standard_deviation_c,Q1,92,92,1.2123394718,1.3544541485,1.2969000218858695,0.9688402392503832,0.777181632427973,0.9239130434782609,0.7075536597141305
rbf,decision_rule,event_day_open,predictive_standard_deviation_c,Q2,91,91,1.3558667879,1.3920388955,1.3709755162252748,0.9813842282329673,0.7852765316168459,0.8901098901098901,0.7682838275527472
rbf,decision_rule,event_day_open,predictive_standard_deviation_c,Q3,91,91,1.392804458,1.4069123037,1.3988024720296703,1.263637023740535,0.9501755722350949,0.8791208791208791,0.9159185321362637
rbf,decision_rule,event_day_open,predictive_standard_deviation_c,Q4,91,91,1.4069161102,1.4141198099,1.4108186784879122,1.0281924362683679,0.8526559809328015,0.8901098901098901,0.8243639165901099
rbf,decision_rule,event_day_open,temperature_predictive_mean_c,Q1,92,92,14.8154645686,24.0037241085,21.194810754252174,1.011661438555238,0.7832436506334158,0.9021739130434783,0.7633166581445652
rbf,decision_rule,event_day_open,temperature_predictive_mean_c,Q2,91,91,24.0999842339,27.8888952182,26.16599181125934,1.2080186813762794,0.9529465657668363,0.8791208791208791,0.8855667080153846
rbf,decision_rule,event_day_open,temperature_predictive_mean_c,Q3,91,91,27.8974058935,31.1890401568,29.71415682603846,1.0533491184651842,0.8511778908798653,0.8901098901098901,0.8084979857824176
rbf,decision_rule,event_day_open,temperature_predictive_mean_c,Q4,91,91,31.2059953079,35.2562976303,32.7209833294011,0.9685541264658283,0.7778549943479226,0.9120879120879121,0.7581258038483517
rbf,decision_rule,event_day_open,forecast_daily_max_c,Q1,92,92,13.5,22.6,19.778260869565216,1.0365717681479638,0.7954895642608159,0.9021739130434783,0.7751167731076087
