model,scope,scope_value,bin_number,lower_bound,upper_bound,count,proportion,uniform_reference_proportion,proportion_error
matern32,overall,all,2,0.1,0.2,168,0.11506849315068493,0.1,0.015068493150684925
matern32,overall,all,3,0.2,0.30000000000000004,145,0.09931506849315068,0.1,-0.0006849315068493261
matern32,overall,all,4,0.30000000000000004,0.4,140,0.0958904109589041,0.1,-0.004109589041095901
matern32,overall,all,5,0.4,0.5,131,0.08972602739726028,0.1,-0.010273972602739725
matern32,overall,all,6,0.5,0.6000000000000001,138,0.09452054794520548,0.1,-0.005479452054794526
matern32,overall,all,7,0.6000000000000001,0.7000000000000001,122,0.08356164383561644,0.1,-0.016438356164383564
matern32,overall,all,8,0.7000000000000001,0.8,153,0.1047945205479452,0.1,0.0047945205479452
matern32,overall,all,9,0.8,0.9,146,0.1,0.1,0.0
matern32,overall,all,10,0.9,1.0,146,0.1,0.1,0.0
matern32,decision_rule,24h_prior,1,0.0,0.1,44,0.12054794520547946,0.1,0.02054794520547945
matern32,decision_rule,24h_prior,2,0.1,0.2,43,0.1178082191780822,0.1,0.017808219178082188
matern32,decision_rule,24h_prior,3,0.2,0.30000000000000004,29,0.07945205479452055,0.1,-0.02054794520547945
matern32,decision_rule,24h_prior,4,0.30000000000000004,0.4,38,0.10410958904109589,0.1,0.004109589041095887
matern32,decision_rule,24h_prior,5,0.4,0.5,29,0.07945205479452055,0.1,-0.02054794520547945
matern32,decision_rule,24h_prior,6,0.5,0.6000000000000001,32,0.08767123287671233,0.1,-0.012328767123287676
matern32,decision_rule,24h_prior,7,0.6000000000000001,0.7000000000000001,31,0.08493150684931507,0.1,-0.015068493150684939
matern32,decision_rule,24h_prior,8,0.7000000000000001,0.8,41,0.11232876712328767,0.1,0.012328767123287662
matern32,decision_rule,24h_prior,9,0.8,0.9,38,0.10410958904109589,0.1,0.004109589041095887
matern32,decision_rule,24h_prior,10,0.9,1.0,40,0.1095890410958904,0.1,0.0095890410958904
matern32,decision_rule,12h_prior,1,0.0,0.1,45,0.1232876712328767,0.1,0.0232876712328767
matern32,decision_rule,12h_prior,2,0.1,0.2,42,0.11506849315068493,0.1,0.015068493150684925
matern32,decision_rule,12h_prior,3,0.2,0.30000000000000004,40,0.1095890410958904,0.1,0.0095890410958904
matern32,decision_rule,12h_prior,4,0.30000000000000004,0.4,32,0.08767123287671233,0.1,-0.012328767123287676
