gp_weight,market_weight,binary_brier,binary_log,categorical_log,multiclass_brier,development_dates,development_books,probability_pool
0.049,0.951,0.0667126615636519,0.21317229477729735,1.5022982429820022,0.7338392772001711,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.05,0.95,0.06670465272927986,0.2131389475394941,1.5019957080483206,0.7337511800220787,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.051,0.949,0.06669665910909084,0.21310576948200594,1.5016948974193387,0.7336632501999993,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.052,0.948,0.06668868070308484,0.2130727590233817,1.501395793792007,0.7335754877339333,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.053,0.947,0.06668071751126185,0.21303991461347044,1.501098380207352,0.7334878926238805,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.054,0.946,0.06667276953362186,0.21300723473252403,1.5008026400406058,0.7334004648698406,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.055,0.945,0.0666648367701649,0.2129747178903339,1.5005085569917087,0.7333132044718137,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.056,0.944,0.06665691922089091,0.21294236262539842,1.5002161150761582,0.7332261114298001,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.057,0.943,0.06664901688579998,0.21291016750412192,1.4999252986161882,0.7331391857437997,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.058,0.942,0.06664112976489203,0.21287813112004142,1.4996360922322736,0.7330524274138123,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.059,0.9410000000000001,0.06663325785816707,0.21284625209308197,1.4993484808349333,0.7329658364398378,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.06,0.94,0.06662540116562517,0.212814529068838,1.4990624496168288,0.7328794128218767,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.061,0.9390000000000001,0.06661755968726624,0.21278296071788008,1.4987779840451383,0.7327931565599287,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.062,0.938,0.06660973342309036,0.2127515457350862,1.4984950698542028,0.7327070676539937,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.063,0.937,0.06660192237309745,0.2127202828389961,1.4982136930384204,0.7326211461040718,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.064,0.9359999999999999,0.06659412653728755,0.2126891707711878,1.497933839845393,0.7325353919101633,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.065,0.935,0.06658634591566069,0.2126582082956753,1.4976554967693025,0.7324498050722676,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.066,0.9339999999999999,0.06657858050821684,0.2126273941983274,1.4973786505445137,0.7323643855903853,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.067,0.933,0.06657083031495599,0.2125967272863053,1.4971032881393913,0.732279133464516,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.068,0.9319999999999999,0.06656309533587815,0.2125662063875194,1.496829396750325,0.7321940486946598,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.069,0.931,0.06655537557098332,0.21253583035010382,1.4965569637959524,0.7321091312808166,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.07,0.9299999999999999,0.0665476710202715,0.21250559804190894,1.4962859769115724,0.7320243812229866,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.071,0.929,0.0665399816837427,0.21247550835000956,1.4960164239437392,0.7319397985211696,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.072,0.928,0.06653230756139691,0.21244556018022953,1.4957482929450354,0.7318553831753659,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.073,0.927,0.06652464865323413,0.2124157524566819,1.4954815721690082,0.7317711351855755,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.074,0.926,0.06651700495925435,0.21238608412132315,1.4952162500652744,0.7316870545517977,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.075,0.925,0.06650937647945758,0.2123565541335222,1.494952315274773,0.7316031412740335,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.076,0.924,0.06650176321384384,0.21232716146964248,1.4946897566251736,0.7315193953522822,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.077,0.923,0.0664941651624131,0.21229790512263746,1.4944285631264247,0.731435816786544,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.078,0.922,0.06648658232516537,0.2122687841016585,1.4941687239664432,0.7313524055768189,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.079,0.921,0.06647901470210062,0.21223979743167481,1.493910228506933,0.7312691617231071,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.08,0.92,0.06647146229321892,0.21221094415310532,1.4936530662793366,0.7311860852254082,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.081,0.919,0.06646392509852023,0.21218222332146128,1.493397226980904,0.7311031760837224,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.082,0.918,0.06645640311800453,0.21215363400700002,1.493142700470886,0.7310204342980497,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.083,0.917,0.06644889635167184,0.212125175294389,1.4928894767668375,0.7309378598683904,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.084,0.916,0.0664414047995222,0.21209684628237996,1.4926375460410333,0.730855452794744,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.085,0.915,0.0664339284615555,0.21206864608349213,1.4923868986169888,0.7307732130771109,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.086,0.914,0.06642646733777187,0.21204057382370575,1.4921375249660835,0.7306911407154907,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.087,0.913,0.06641902142817124,0.2120126286421637,1.491889415704281,0.7306092357098838,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.088,0.912,0.06641159073275363,0.21198480969088207,1.4916425615889497,0.7305274980602898,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.089,0.911,0.066404175251519,0.211957116134469,1.4913969535157665,0.730445927766709,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.09,0.91,0.06639677498446739,0.21192954714985207,1.4911525825157173,0.7303645248291416,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.091,0.909,0.06638938993159882,0.2119021019260122,1.490909439752177,0.730283289247587,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.092,0.908,0.06638202009291323,0.21187477966372645,1.4906675165180754,0.7302022210220457,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.093,0.907,0.06637466546841066,0.21184757957531725,1.490426804233141,0.7301213201525173,67,236,convex linear pool of coherent GP and normalised market book probabilities
