model,scope,scope_value,rows,dates,mean,standard_deviation,rmse,median,mean_absolute_value,skewness,excess_kurtosis,proportion_absolute_above_1,proportion_absolute_above_1_645,proportion_absolute_above_1_96,proportion_absolute_above_2_576,aggregation
rbf,rule_by_validation_block,24h_prior|fold_03,91,91,-0.4113488014939362,0.936122285111359,1.0177931149587436,-0.3287171329362611,0.8333443345943293,-0.2398733098212235,-0.8971676986063462,0.3076923076923077,0.13186813186813187,0.04395604395604396,0.01098901098901099,rule-specific standardised residual
rbf,rule_by_validation_block,6h_prior|fold_03,91,91,-0.5589676875358294,0.9201433895503156,1.0722894826538512,-0.5361055900005185,0.8610466166311411,-0.055963858440948144,-0.4201773213058475,0.3516483516483517,0.17582417582417584,0.07692307692307693,0.01098901098901099,rule-specific standardised residual
rbf,rule_by_validation_block,event_day_open|fold_03,91,91,-0.4368558646657344,0.8571498921909174,0.9578493057641471,-0.4260147450744966,0.7823041842657754,0.24771826583502352,-0.3482404114864006,0.34065934065934067,0.07692307692307693,0.03296703296703297,0.0,rule-specific standardised residual
rbf,rule_by_validation_block,12h_prior|fold_04,92,92,-0.4877464388082176,0.8582869269339638,0.9831306638495303,-0.5630039921610073,0.8094531388254901,0.3678579474378414,0.7162655621828851,0.33695652173913043,0.07608695652173914,0.021739130434782608,0.010869565217391304,rule-specific standardised residual
rbf,rule_by_validation_block,24h_prior|fold_04,92,92,-0.41005092372611546,0.884607128144984,0.9706522409345838,-0.47088125040849543,0.7891165180621578,0.3905876312103154,0.41891438158991434,0.32608695652173914,0.08695652173913043,0.03260869565217391,0.010869565217391304,rule-specific standardised residual
rbf,rule_by_validation_block,6h_prior|fold_04,92,92,-0.46079200809063087,0.8590973687496697,0.970749864641769,-0.5310716100077437,0.7921818372832167,0.3785777800989092,0.9700100319581417,0.30434782608695654,0.08695652173913043,0.03260869565217391,0.010869565217391304,rule-specific standardised residual
rbf,rule_by_validation_block,event_day_open|fold_04,92,92,-0.44710690077833687,0.8252932101831186,0.9346711218800474,-0.5350998336453278,0.7627054097190136,0.6844886293482189,0.981854126099563,0.2826086956521739,0.09782608695652174,0.03260869565217391,0.0,rule-specific standardised residual
matern32,overall,all,1460,365,-0.050806920950575915,1.0049642022113114,1.0048718307781301,-0.07374597912187597,0.8146348130010587,-0.036591264092909,-0.0851212610247778,0.3424657534246575,0.09863013698630137,0.03561643835616438,0.010958904109589041,date-mean standardised residual after averaging rules
matern32,decision_rule,24h_prior,365,365,-0.01260380936304376,1.0759241799972228,1.0745232222165968,-0.023560630645117212,0.8736416907691458,0.08261925559847205,0.0233918305718519,0.37534246575342467,0.12876712328767123,0.0547945205479452,0.010958904109589041,rule-specific standardised residual
matern32,decision_rule,12h_prior,365,365,-0.08773675589777506,1.059398925570327,1.0615785208136226,-0.09449748380645841,0.8510301811631557,-0.10335296432815586,-0.031749732816722886,0.3589041095890411,0.13150684931506848,0.049315068493150684,0.019178082191780823,rule-specific standardised residual
