replication,selected_gp_weight,selected_market_weight,minimum_bootstrap_categorical_log
101,0.233,0.767,1.3965991268395044
102,0.462,0.538,1.4921474373111416
103,0.44,0.56,1.4384173315117355
104,0.569,0.43100000000000005,1.4264571601480633
105,0.636,0.364,1.4982049359509215
106,0.081,0.919,1.2565208972890942
107,0.448,0.552,1.3957169383517196
108,0.484,0.516,1.3977850002414385
109,0.778,0.22199999999999998,1.5340799746217988
110,0.274,0.726,1.4233820734057847
111,0.648,0.352,1.4668760386234747
112,0.32,0.6799999999999999,1.455950998290254
113,0.302,0.698,1.486393270800148
114,0.072,0.928,1.2600152743637298
115,0.768,0.23199999999999998,1.5143840801572397
116,0.078,0.922,1.280395922345091
117,0.053,0.947,1.2626976781030788
118,0.447,0.5529999999999999,1.3313271219285405
119,0.503,0.497,1.4496289479728428
120,0.603,0.397,1.4159985020238492
121,0.547,0.45299999999999996,1.503178081435376
122,0.706,0.29400000000000004,1.4033869902209692
123,0.371,0.629,1.4549127142412563
124,0.24,0.76,1.3289914854594613
125,0.861,0.139,1.546575262492203
126,0.799,0.20099999999999996,1.4934026853234443
127,0.322,0.6779999999999999,1.4245489768376935
128,0.172,0.8280000000000001,1.4515040840193978
129,0.218,0.782,1.3638179150942642
130,0.416,0.5840000000000001,1.4421938583165241
131,0.138,0.862,1.398866333414529
132,0.416,0.5840000000000001,1.3898851513871673
133,0.595,0.405,1.439331696675725
134,0.468,0.532,1.5092582368984195
135,0.638,0.362,1.505883677210961
136,0.501,0.499,1.4053739107704073
137,0.445,0.5549999999999999,1.3942884505410602
138,0.515,0.485,1.396135360541417
139,0.121,0.879,1.4305276010192685
140,0.538,0.46199999999999997,1.3502139191282732
141,0.571,0.42900000000000005,1.4933023108413301
142,0.431,0.569,1.4202063665756115
143,0.147,0.853,1.4099732416139286
144,0.468,0.532,1.4169267882282084
145,0.365,0.635,1.4481747567976762
146,0.485,0.515,1.5241172769445293
147,0.385,0.615,1.5616794126134572
148,0.767,0.23299999999999998,1.5231703809991661
149,0.532,0.46799999999999997,1.4774252675126254
150,0.689,0.31100000000000005,1.5672894366130679
151,0.258,0.742,1.3537851408184083
152,0.46,0.54,1.4600168945119285
153,0.313,0.687,1.3920537084734406
154,0.356,0.644,1.4372796016129517
155,0.446,0.554,1.4510629650604294
156,0.451,0.5489999999999999,1.367572184098306
157,0.415,0.585,1.4219796501166773
158,0.467,0.5329999999999999,1.5451568159676232
159,0.368,0.632,1.4452109033362857
160,0.267,0.733,1.3442098444609165
161,0.543,0.45699999999999996,1.4699796203952242
162,0.62,0.38,1.5198422438829526
163,0.364,0.636,1.4218921069316224
164,0.371,0.629,1.4461874382464899
165,0.683,0.31699999999999995,1.4147719729269037
166,0.399,0.601,1.4411476515073527
167,0.367,0.633,1.4274748494188023
168,0.543,0.45699999999999996,1.4646652530630229
169,0.487,0.513,1.515801524679455
170,0.164,0.836,1.3477144919303155
171,0.389,0.611,1.4104337402075324
172,0.428,0.5720000000000001,1.4064640788638687
173,0.505,0.495,1.398098056153068
174,0.148,0.852,1.346443364197376
175,0.08,0.92,1.2942773770497566
176,0.417,0.583,1.467165376707718
177,0.388,0.612,1.4677973575933831
178,0.542,0.45799999999999996,1.493716475391284
179,0.541,0.45899999999999996,1.425432863886789
180,0.42,0.5800000000000001,1.5385112103097214
181,0.416,0.5840000000000001,1.521814154594378
182,0.511,0.489,1.455570752278984
183,0.757,0.243,1.4290845461254706
184,0.434,0.5660000000000001,1.456435410514637
185,0.525,0.475,1.4265352834288962
186,0.415,0.585,1.4001992515894484
187,0.659,0.34099999999999997,1.6389180931197909
188,0.479,0.521,1.4949820173222845
189,0.106,0.894,1.341976252993902
190,0.679,0.32099999999999995,1.3924146221912839
191,0.683,0.31699999999999995,1.4838787385108922
192,0.267,0.733,1.4414607058649083
193,0.691,0.30900000000000005,1.5102829994025464
194,0.194,0.806,1.2967052498371772
195,0.286,0.714,1.4571580895657714
196,0.773,0.22699999999999998,1.5304821733242813
197,0.523,0.477,1.4943774031777626
198,0.626,0.374,1.4428114203584628
199,0.742,0.258,1.520816112448763
200,0.357,0.643,1.420453695283588
201,0.44,0.56,1.425536794297426
202,0.532,0.46799999999999997,1.4984459427103773
203,0.644,0.356,1.3950255816749835
204,0.291,0.7090000000000001,1.4023900313278874
205,0.329,0.671,1.405789391074197
206,0.141,0.859,1.3260261395875514
207,0.722,0.278,1.4948965945651391
208,0.294,0.706,1.4915103311243483
209,0.441,0.5589999999999999,1.4558390353480566
210,0.286,0.714,1.4266015961703278
211,0.466,0.534,1.4245710041955622
212,0.629,0.371,1.4585167254089328
213,0.716,0.28400000000000003,1.473466596380955
214,0.64,0.36,1.4514654318087619
215,0.39,0.61,1.4550970476419343
216,0.714,0.28600000000000003,1.5682376490830054
217,0.501,0.499,1.499688740203889
218,0.556,0.44399999999999995,1.4460113058672233
219,0.525,0.475,1.4426109118846726
220,0.399,0.601,1.4220713680067014
221,0.14,0.86,1.3321703160036735
222,0.567,0.43300000000000005,1.4226855753554972
223,0.37,0.63,1.4103771028308378
224,0.501,0.499,1.4024323889043124
225,0.014,0.986,1.256932674927074
226,0.315,0.685,1.4511050796286549
227,0.59,0.41000000000000003,1.408586796357231
228,0.286,0.714,1.3645463910297395
229,0.858,0.14200000000000002,1.5623190312186688
230,0.544,0.45599999999999996,1.467658140271029
231,0.612,0.388,1.4873294322709896
232,0.583,0.41700000000000004,1.4938968272896804
233,0.645,0.355,1.4354891867863717
234,0.656,0.344,1.5005787823444063
235,0.615,0.385,1.4171713289466095
236,0.944,0.05600000000000005,1.4810495920813225
237,0.298,0.702,1.4803447465648214
238,0.201,0.7989999999999999,1.379228799809214
239,0.422,0.5780000000000001,1.3869114621243277
240,0.349,0.651,1.4317464488833078
241,0.677,0.32299999999999995,1.4850561462365521
242,0.222,0.778,1.31101362713247
243,0.838,0.16200000000000003,1.5358016977465894
244,0.383,0.617,1.494811789226958
245,0.333,0.667,1.4793930615960975
246,0.373,0.627,1.469998542716408
247,0.325,0.675,1.4599016252497006
248,0.273,0.727,1.3927364404792277
249,0.28,0.72,1.4030638345791597
250,0.688,0.31200000000000006,1.497135022710325
251,0.504,0.496,1.4698257307186917
252,0.212,0.788,1.3193225788593914
253,0.428,0.5720000000000001,1.5094166353279022
254,0.46,0.54,1.4262964326228509
255,0.195,0.8049999999999999,1.3940586978568006
256,0.83,0.17000000000000004,1.490577300891596
257,0.271,0.729,1.3574530654095003
258,0.502,0.498,1.526907112513239
259,0.503,0.497,1.4444078521944046
260,0.715,0.28500000000000003,1.4564725660736968
261,0.534,0.46599999999999997,1.43733761037212
262,0.58,0.42000000000000004,1.4499076186427893
263,0.636,0.364,1.45615884475423
264,0.544,0.45599999999999996,1.5260194438199826
265,0.774,0.22599999999999998,1.4997337322350823
266,0.421,0.579,1.4962207270703018
267,0.381,0.619,1.424234195816998
268,0.388,0.612,1.4221027791475835
269,0.598,0.402,1.5214221725192154
270,0.379,0.621,1.4144043257657986
271,0.332,0.6679999999999999,1.3957382030663377
272,0.651,0.349,1.493014649537847
273,0.367,0.633,1.4227853790903604
274,0.906,0.09399999999999997,1.4615906561694925
275,0.703,0.29700000000000004,1.6386023728221966
276,0.507,0.493,1.4106209197416992
277,0.613,0.387,1.5138241441336653
278,0.563,0.43700000000000006,1.5164120232474922
279,0.367,0.633,1.46479939637814
280,0.553,0.44699999999999995,1.3826411046630642
281,0.481,0.519,1.4935845027472094
282,0.48,0.52,1.4743245226465853
283,0.239,0.761,1.3893977470252967
284,0.173,0.827,1.3731839534932198
285,0.577,0.42300000000000004,1.4519381480319182
286,0.585,0.41500000000000004,1.506310627484008
287,0.414,0.5860000000000001,1.4147234141685017
288,0.405,0.595,1.5031270654915376
289,0.347,0.653,1.4421637374436096
290,0.42,0.5800000000000001,1.429537103774417
291,0.272,0.728,1.383077679050344
292,0.612,0.388,1.4719615505976298
293,0.334,0.6659999999999999,1.4724483642676258
294,0.674,0.32599999999999996,1.4821718884653254
295,0.236,0.764,1.4064034732722759
296,0.514,0.486,1.3720549524847243
297,0.61,0.39,1.4814399131773686
298,0.265,0.735,1.459339527122572
299,0.464,0.536,1.486894378237436
300,0.328,0.6719999999999999,1.4224297430553023
301,0.407,0.593,1.5277566007886791
302,0.33,0.6699999999999999,1.3738653324227343
303,0.568,0.43200000000000005,1.4363778565699132
304,0.575,0.42500000000000004,1.571219036166293
305,0.833,0.16700000000000004,1.4669074847033705
306,0.716,0.28400000000000003,1.3431304707210974
307,0.257,0.743,1.396616203894725
308,0.525,0.475,1.4359730614131154
309,0.723,0.277,1.5516298278853187
310,0.414,0.5860000000000001,1.4191295350272872
311,0.17,0.83,1.4216294455072138
312,0.559,0.44099999999999995,1.4252435003318547
313,0.283,0.7170000000000001,1.3910779740514243
314,0.266,0.734,1.3442776884533223
315,0.393,0.607,1.4263938478550555
316,0.294,0.706,1.3913230379045427
317,0.719,0.281,1.4968047877996076
318,0.677,0.32299999999999995,1.5217788837747537
319,0.431,0.569,1.453286958806356
320,0.394,0.606,1.453042317183177
321,0.617,0.383,1.5056951687106421
322,0.527,0.473,1.3950342198868935
323,0.617,0.383,1.3478255767645837
324,0.705,0.29500000000000004,1.405550528720057
325,0.548,0.45199999999999996,1.4806720869637604
326,0.628,0.372,1.3999043109584828
327,0.685,0.31499999999999995,1.466320066624261
328,0.421,0.579,1.5101034978184569
329,0.306,0.694,1.3692577629671199
330,0.771,0.22899999999999998,1.484214289969718
331,0.471,0.529,1.5036317725794963
332,0.552,0.44799999999999995,1.4482853534353166
333,0.445,0.5549999999999999,1.407846464237579
334,0.296,0.704,1.4102009535105233
335,0.218,0.782,1.398102641005513
336,0.502,0.498,1.4871441388881679
337,0.087,0.913,1.2645604460315711
338,0.557,0.44299999999999995,1.4558042152431119
339,0.75,0.25,1.5478576225209875
340,0.474,0.526,1.494967263644646
341,0.726,0.274,1.5877343890739273
342,0.504,0.496,1.4745446772150976
343,0.412,0.5880000000000001,1.4776568120633906
344,0.551,0.44899999999999995,1.4061821133630186
345,0.263,0.737,1.3853698977993856
346,0.49,0.51,1.396377260523369
347,0.466,0.534,1.4446000716107017
348,0.483,0.517,1.4702672976536286
349,0.449,0.5509999999999999,1.5115308643051177
350,0.372,0.628,1.451400347233324
351,0.135,0.865,1.3226614035810094
352,0.0,1.0,1.3286679680470803
353,0.555,0.44499999999999995,1.4684502567141116
354,0.579,0.42100000000000004,1.424767853017858
355,0.408,0.5920000000000001,1.4335391928788292
356,0.33,0.6699999999999999,1.4300004509769575
357,0.484,0.516,1.4905021147412645
358,0.605,0.395,1.5790840741340597
359,0.556,0.44399999999999995,1.3621550406821625
360,0.195,0.8049999999999999,1.4346587770917782
361,0.357,0.643,1.3199427478750407
362,0.658,0.34199999999999997,1.4994412205878649
363,0.337,0.663,1.5176050655221645
364,0.617,0.383,1.4601371933333207
365,0.322,0.6779999999999999,1.4004541419522953
366,0.387,0.613,1.484479093521043
367,0.509,0.491,1.4404197239839862
368,0.506,0.494,1.4452613333297128
369,0.085,0.915,1.299856723391304
370,0.665,0.33499999999999996,1.4893384605197846
371,0.476,0.524,1.4543197731120483
372,0.143,0.857,1.4252985818797088
373,0.49,0.51,1.4152219706594242
374,0.655,0.345,1.5096457025358805
375,0.428,0.5720000000000001,1.4337275601323314
376,0.501,0.499,1.521862001380406
377,0.187,0.813,1.3455817598574986
378,0.249,0.751,1.3532706575180675
379,0.302,0.698,1.4657231203695222
380,0.753,0.247,1.4853613261685952
381,0.404,0.596,1.483484283687193
382,0.493,0.507,1.4621024164769092
383,0.517,0.483,1.4923519797063853
384,0.469,0.531,1.4177170403958743
385,0.596,0.404,1.4221765943611622
386,0.383,0.617,1.4776200698513235
387,0.753,0.247,1.4984055399826328
388,0.385,0.615,1.4270302795734962
389,0.593,0.40700000000000003,1.5411465893855958
390,0.564,0.43600000000000005,1.4381702095792557
391,0.659,0.34099999999999997,1.4964767056063926
392,0.453,0.5469999999999999,1.5598300475746032
393,0.675,0.32499999999999996,1.5274868225470493
394,0.625,0.375,1.5371890833584902
395,0.588,0.41200000000000003,1.4443736791606918
396,0.326,0.6739999999999999,1.3832183584466977
397,0.729,0.271,1.5155272522221157
398,0.257,0.743,1.4595574221883707
399,0.631,0.369,1.481576910634884
400,0.475,0.525,1.487989849411682
401,0.636,0.364,1.397166779856833
402,0.518,0.482,1.4803412066451882
403,0.603,0.397,1.3355956898096568
404,0.475,0.525,1.4329093464486196
405,0.759,0.241,1.3939905774679686
406,0.56,0.43999999999999995,1.5305873961538408
407,0.66,0.33999999999999997,1.5308134894669958
408,0.569,0.43100000000000005,1.4408340971740359
409,0.448,0.552,1.4924127377405776
410,0.459,0.5409999999999999,1.3762080691014091
411,0.577,0.42300000000000004,1.3670640585407328
412,0.758,0.242,1.4059415224369103
413,0.729,0.271,1.3934645775997512
414,0.403,0.597,1.4846184563459008
415,0.588,0.41200000000000003,1.4439973095883332
416,0.529,0.471,1.5186561706143336
417,0.426,0.5740000000000001,1.5136177451589974
418,0.365,0.635,1.4610507208054848
419,0.531,0.469,1.5569442602182486
420,0.423,0.577,1.4005726765756183
421,0.298,0.702,1.3402053812860866
422,0.191,0.8089999999999999,1.4174395353998983
423,0.847,0.15300000000000002,1.5471478605373932
424,0.765,0.235,1.4861123587339529
425,0.056,0.944,1.3360587670753283
426,0.436,0.5640000000000001,1.4061980734525088
427,0.313,0.687,1.4430033144090626
428,0.498,0.502,1.3736277660886318
429,0.358,0.642,1.3968674594091741
430,0.579,0.42100000000000004,1.5705729173923124
431,0.492,0.508,1.4600857566086454
432,0.706,0.29400000000000004,1.5286361190773552
433,0.509,0.491,1.4789223331739993
434,0.435,0.565,1.4719007130533843
435,0.273,0.727,1.461196826439142
436,0.471,0.529,1.525902766492
437,0.511,0.489,1.4081132535978929
438,0.375,0.625,1.4270115681921969
439,0.667,0.33299999999999996,1.47656254107289
440,0.663,0.33699999999999997,1.541636891708227
441,0.584,0.41600000000000004,1.3535554725310868
442,0.723,0.277,1.4345607966254532
443,0.461,0.5389999999999999,1.4765452729510662
444,0.641,0.359,1.5213651110987096
445,0.623,0.377,1.5531891533418374
446,0.388,0.612,1.4776723538796086
447,0.597,0.403,1.520140490708207
448,0.639,0.361,1.564174229654044
449,0.741,0.259,1.486398664407875
450,0.461,0.5389999999999999,1.436623763738863
451,0.35,0.65,1.3858682904728064
452,0.52,0.48,1.384135732231887
453,0.365,0.635,1.3897910581576856
454,0.511,0.489,1.4758864950854782
455,0.533,0.46699999999999997,1.4067533053571672
456,0.373,0.627,1.4212492853670406
457,0.421,0.579,1.527605351633589
458,0.398,0.602,1.380562142685438
459,0.58,0.42000000000000004,1.4404171775956423
460,0.0,1.0,1.3259830311987049
461,0.318,0.6819999999999999,1.4539390530095047
462,0.551,0.44899999999999995,1.3909705179222762
463,0.634,0.366,1.529030348735145
464,0.779,0.22099999999999997,1.5066278075919413
465,0.259,0.741,1.43382932532455
466,0.265,0.735,1.3637446133592501
467,0.18,0.8200000000000001,1.2505416079281937
468,0.682,0.31799999999999995,1.3841257046211128
469,0.437,0.563,1.44142296096704
470,0.444,0.556,1.4418721543632151
471,0.575,0.42500000000000004,1.4281436064911737
472,0.176,0.8240000000000001,1.3872804552715614
473,0.285,0.7150000000000001,1.3868427460798347
474,0.529,0.471,1.4474384230300035
475,0.413,0.587,1.392708288668943
476,0.496,0.504,1.4796651781343293
477,0.626,0.374,1.5485132217207411
478,0.655,0.345,1.5520000878917188
479,0.649,0.351,1.479060335498727
480,0.543,0.45699999999999996,1.5105436203125013
481,0.519,0.481,1.4888867645075954
482,0.359,0.641,1.4632324407462705
483,0.125,0.875,1.283923397804423
484,0.569,0.43100000000000005,1.490922474918681
485,0.443,0.5569999999999999,1.4954520350009775
486,0.566,0.43400000000000005,1.4559876991440788
487,0.271,0.729,1.4241275404759302
488,0.66,0.33999999999999997,1.5003573200301956
489,0.388,0.612,1.4219187547865957
490,0.634,0.366,1.4602536088510643
491,0.527,0.473,1.4156677132940527
492,0.412,0.5880000000000001,1.4340474540779966
493,0.271,0.729,1.3843521944947945
494,0.471,0.529,1.443548713806126
495,0.12,0.88,1.4281467020789653
496,0.343,0.657,1.4189400071157579
497,0.388,0.612,1.4907233498265313
498,0.585,0.41500000000000004,1.3372358747239435
499,0.697,0.30300000000000005,1.5038623712287236
500,0.383,0.617,1.4482661121971707
501,0.483,0.517,1.587217243806164
502,0.547,0.45299999999999996,1.4434152726278273
503,0.289,0.7110000000000001,1.4760164488473786
504,0.421,0.579,1.4583985320264399
505,0.755,0.245,1.5312065046759686
506,0.498,0.502,1.4773658009348032
507,0.572,0.42800000000000005,1.4734629697880366
508,0.572,0.42800000000000005,1.4402729857600443
509,0.44,0.56,1.4777439454847834
510,0.235,0.765,1.4446618873515957
511,0.282,0.718,1.4411528018277622
512,0.637,0.363,1.5280670797220335
513,0.396,0.604,1.3762519724609845
514,0.687,0.31299999999999994,1.398234942655706
515,0.449,0.5509999999999999,1.4535054233167288
516,0.369,0.631,1.4474884868013704
517,0.685,0.31499999999999995,1.5001596104284762
518,0.428,0.5720000000000001,1.4054465200621158
519,0.259,0.741,1.268823757013707
520,0.721,0.279,1.5099946782302558
521,0.864,0.136,1.5481093541886077
522,0.284,0.716,1.4620215776157768
523,0.315,0.685,1.3909034387780523
524,0.455,0.5449999999999999,1.4949109821762565
525,0.743,0.257,1.4745954669036656
526,0.227,0.773,1.4397665941129671
527,0.273,0.727,1.410160672701669
528,0.486,0.514,1.4442092811949854
529,0.4,0.6,1.458178558606252
530,0.319,0.681,1.4654804275440108
531,0.231,0.769,1.3874065324317648
532,0.359,0.641,1.4875233316140064
533,0.255,0.745,1.38591017679772
534,0.26,0.74,1.350878851306138
535,0.007,0.993,1.306887380029261
536,0.765,0.235,1.4569426562863557
537,0.628,0.372,1.4806695161016568
538,0.401,0.599,1.4077430673890816
539,0.675,0.32499999999999996,1.4566777922734606
540,0.423,0.577,1.4020881137332026
541,0.485,0.515,1.403049056061303
542,0.316,0.6839999999999999,1.4116489504576595
543,0.444,0.556,1.4646877625546184
544,0.672,0.32799999999999996,1.5019830154108709
545,0.669,0.33099999999999996,1.4116054335373358
546,0.493,0.507,1.3859180186125424
547,0.347,0.653,1.4699023390391208
548,0.326,0.6739999999999999,1.3715095736066347
549,0.711,0.28900000000000003,1.5128922216107292
550,0.792,0.20799999999999996,1.5646553791688684
551,0.488,0.512,1.4493113961374657
552,0.596,0.404,1.5070906041920602
553,0.646,0.354,1.5088204618216026
554,0.481,0.519,1.4958581197992205
555,0.602,0.398,1.4962727271054326
556,0.628,0.372,1.5338960823576198
557,0.193,0.8069999999999999,1.3880891451754689
558,0.513,0.487,1.5059623620457665
559,0.55,0.44999999999999996,1.3588778982297727
560,0.376,0.624,1.3925337751125428
561,0.526,0.474,1.4701742338559902
562,0.474,0.526,1.4522871888487503
563,0.23,0.77,1.442654212766322
564,0.449,0.5509999999999999,1.4427417815362513
565,0.737,0.263,1.3451582807391853
566,0.799,0.20099999999999996,1.5179993215223948
567,0.597,0.403,1.4073306546199966
568,0.712,0.28800000000000003,1.4545287978784869
569,0.687,0.31299999999999994,1.5905118509651472
570,0.742,0.258,1.4797929279447561
571,0.363,0.637,1.3320595292164117
572,0.282,0.718,1.4188401055045319
573,0.671,0.32899999999999996,1.490643820545295
574,0.446,0.554,1.419755202375396
575,0.493,0.507,1.4335470272251951
576,0.652,0.348,1.4795436583969148
577,0.427,0.573,1.3943509322750456
578,0.809,0.19099999999999995,1.467914122174924
579,0.915,0.08499999999999996,1.4706416810557124
580,0.999,0.0010000000000000009,1.4663523382202763
581,0.549,0.45099999999999996,1.4157616170061489
582,0.501,0.499,1.3895426394969441
583,0.738,0.262,1.5171794930944462
584,0.087,0.913,1.2982087228357821
585,0.414,0.5860000000000001,1.4512466114349472
586,0.612,0.388,1.4727503295414586
587,0.341,0.659,1.4725588867034352
588,0.438,0.562,1.4481485578421338
589,0.553,0.44699999999999995,1.4237367723134666
590,0.604,0.396,1.5081395900672858
591,0.615,0.385,1.5472133615586705
592,0.627,0.373,1.3620399029661734
593,0.711,0.28900000000000003,1.4292549543575561
594,0.788,0.21199999999999997,1.4749153308275704
595,0.242,0.758,1.419194735646539
596,0.425,0.575,1.4497535034408697
597,0.663,0.33699999999999997,1.4784640854638447
598,0.208,0.792,1.415234602282388
599,0.554,0.44599999999999995,1.492292445362972
600,0.128,0.872,1.2946839665954544
601,0.341,0.659,1.4325358710762581
602,0.449,0.5509999999999999,1.4285434778740396
603,0.18,0.8200000000000001,1.3456743968261426
604,0.291,0.7090000000000001,1.4482226653296546
605,0.169,0.831,1.326294636940413
606,0.459,0.5409999999999999,1.4187201088487515
607,0.575,0.42500000000000004,1.423253323583397
608,0.431,0.569,1.5013194602425166
609,0.342,0.6579999999999999,1.4892156313706524
610,0.486,0.514,1.2635691271686609
611,0.427,0.573,1.386779157361062
612,0.367,0.633,1.3989751838241553
613,0.617,0.383,1.5072939751625445
614,0.324,0.6759999999999999,1.4386534005285951
615,0.706,0.29400000000000004,1.5507656278220614
616,0.657,0.34299999999999997,1.4614397643434331
617,0.284,0.716,1.427291839480223
618,0.404,0.596,1.4369804702549172
619,0.544,0.45599999999999996,1.4167476104731824
620,0.336,0.6639999999999999,1.3855652741248128
621,0.302,0.698,1.454226664129449
622,0.661,0.33899999999999997,1.528521796340421
623,0.162,0.838,1.3835007094615324
624,0.518,0.482,1.5148945899888828
625,0.369,0.631,1.3387444628559917
626,0.562,0.43799999999999994,1.4843894829713515
627,0.85,0.15000000000000002,1.4929208451619633
628,0.469,0.531,1.4081195445468335
629,0.233,0.767,1.360362768051029
630,0.683,0.31699999999999995,1.5123421358809164
631,0.608,0.392,1.4226765016721916
632,0.334,0.6659999999999999,1.4340179386406873
633,0.249,0.751,1.3465861771297014
634,0.336,0.6639999999999999,1.4143939752286858
635,0.049,0.951,1.3203721402634474
636,0.462,0.538,1.4403380032867794
637,0.667,0.33299999999999996,1.4933103710235602
638,0.438,0.562,1.371094499603621
639,0.593,0.40700000000000003,1.4381665066979643
640,0.478,0.522,1.5024529805754083
641,0.434,0.5660000000000001,1.4710158605341923
642,0.135,0.865,1.306040464635414
643,0.927,0.07299999999999995,1.5224570066233964
644,0.619,0.381,1.5058529860227947
645,0.366,0.634,1.4104077707230258
646,0.259,0.741,1.377237555425976
647,0.663,0.33699999999999997,1.5362210493907236
648,0.281,0.719,1.3231510681213936
649,0.435,0.565,1.4905418859964799
650,0.275,0.725,1.484712656218188
651,0.325,0.675,1.435146653906493
652,0.522,0.478,1.5126734659100127
653,0.377,0.623,1.4222200204870192
654,0.217,0.783,1.396259001274835
655,0.443,0.5569999999999999,1.4614694938416892
656,0.542,0.45799999999999996,1.419342012218691
657,0.663,0.33699999999999997,1.3342446766086045
658,0.458,0.542,1.5165762375327763
659,0.063,0.937,1.326821310836932
660,0.429,0.571,1.462112551185461
661,0.451,0.5489999999999999,1.4922523888742978
662,0.472,0.528,1.499432572593617
663,0.366,0.634,1.4392969136514775
664,0.522,0.478,1.4316414630483214
665,0.624,0.376,1.4902633292900351
666,0.856,0.14400000000000002,1.4291385184664542
667,0.63,0.37,1.4384302655511927
668,0.532,0.46799999999999997,1.475163789029385
669,0.617,0.383,1.5316153048625043
670,0.288,0.712,1.418376386981788
671,0.225,0.775,1.329392945206678
672,0.602,0.398,1.4925771437126416
673,0.284,0.716,1.5103242524787734
674,0.542,0.45799999999999996,1.4899301480637437
675,0.5,0.5,1.4328108336886454
676,0.19,0.81,1.3953236630289128
677,0.0,1.0,1.2756169093718854
678,0.48,0.52,1.4649756366348516
