settlement_date,decision_rule,source_path
2024-04-21,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-21,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-21,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-22,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-22,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-22,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-22,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-23,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-23,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-23,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-23,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-24,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-24,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-24,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-24,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-25,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-25,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-25,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-25,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-26,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-26,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-26,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
