event_date,empirical_period,contract_key,12h_prior,24h_prior,6h_prior,event_day_open,contract_complete,taec_date_eligible
2026-05-03,market_development,60443370186417456467865976872489251706113489436917680078203542614823012258953,0.26,0.335,0.375,0.475,True,True
2026-05-03,market_development,83355097538008992029985327962925331278857141589370144574256514301948141274514,0.265,0.21,0.175,0.09,True,True
2026-05-03,market_development,87020764522710506909328315504264510132195203403844565095165017797240138179595,0.006,0.0185,0.006,0.0125,True,True
2026-05-03,market_development,9310978783630521789363745656204975559839390783730992100894729445809070551644,0.055,0.045,0.032,0.013,True,True
2026-05-04,market_development,105963347946619614603114307554083461903822487038255752588388131163877727572223,0.0005,0.0005,0.0005,0.0005,True,True
2026-05-04,market_development,112447578828177231594228264024996570923120416021700597931909230421428623314201,0.68,0.675,0.495,0.505,True,True
2026-05-04,market_development,13931121599148772800638144365958953914447366469883448508466561974576649237827,0.001,0.001,0.0015,0.0015,True,True
2026-05-04,market_development,18422141539392546505724151731235641230722570601800375331600721909126444945861,0.0235,0.0085,0.013,0.0195,True,True
2026-05-04,market_development,3529654944169415564682556937563972889978763368286892102906734523136619067824,0.001,0.001,0.001,0.0015,True,True
2026-05-04,market_development,52797212124075313391350639083883137559131347866192602878631305047029485686229,0.0015,0.0015,0.005,0.0035,True,True
2026-05-04,market_development,5316216010476065273817442590084028836828033761763879204264401856691517116504,0.0005,0.0005,0.0005,0.0005,True,True
2026-05-04,market_development,5909268814463807835595751454297257835365182497047822447183687413775679183552,0.0005,0.0005,0.0005,0.0005,True,True
2026-05-04,market_development,73432613538914549700600061909934590384792567061254807230040692446446773798070,0.245,0.25,0.355,0.385,True,True
2026-05-04,market_development,78990867874852727914346642785402836393074248583008171765836682061619658167711,0.075,0.06,0.155,0.105,True,True
2026-05-04,market_development,85706670194422551578660113691449231182529146529111144061329716794740618356493,0.0005,0.0005,0.0005,0.0005,True,True
2026-05-05,market_development,108512851894427506700590724580229531772442173178981256308386003154009990388648,0.0015,0.0015,0.0005,0.0005,True,True
2026-05-05,market_development,108610683288888490930883387304634942274046639536727656032696234216065141615982,0.185,0.235,0.145,0.17,True,True
2026-05-05,market_development,14590556269298896982820264756228625674638730049984980281410953715761024740136,0.115,0.05,0.115,0.11,True,True
2026-05-05,market_development,17021850097564594477293423315563877771858098808438110899938011583417466674172,0.0155,0.0065,0.008,0.0355,True,True
2026-05-05,market_development,34299967706029974464063611664710631736290322936948440950789116440001307499653,0.365,0.245,0.33,0.38,True,True
2026-05-05,market_development,36599265530565002358168465858521723691631236112887596493916821332299195462677,0.0005,0.0005,0.0005,0.0005,True,True
2026-05-05,market_development,43652514052319783651357504048675939763289286792885316897460456671024671923179,0.0325,0.105,0.0405,0.0165,True,True
2026-05-05,market_development,46773516555213726621215782604118543498981656107812738334298084866116573618882,0.0015,0.0015,0.0015,0.0025,True,True
2026-05-05,market_development,61814364428593580531590012605062477481743776404302190279375608556588601517380,0.345,0.36,0.395,0.325,True,True
2026-05-05,market_development,73991708580082780134561571601197366162132028479123444216073756321143641657961,0.0105,0.0345,0.015,0.0045,True,True
2026-05-05,market_development,7692476604981181161344917141343875509614560750314054124557140688275946415488,0.0015,0.0015,0.0005,0.0005,True,True
2026-05-06,market_development,100597171674457226931742486196431788501548638696540830586776423624614409247848,0.004,,0.0025,0.0045,False,False
2026-05-06,market_development,101281715570812081451448954031051812495348860926683851129659217069788836319275,0.003,,0.0035,0.002,False,False
2026-05-06,market_development,103349420611802674768983502643929736387901040111555850274466501302783915611106,0.195,,0.215,0.215,False,False
2026-05-06,market_development,112945876198208987085005086757055078562199837203244895764765866797089370092217,0.405,,0.475,0.475,False,False
2026-05-06,market_development,14277510019122637100493704938838105661939994897615877592514718187132683882451,0.0125,,0.0045,0.009,False,False
2026-05-06,market_development,20583738854916292592471221641368507490833691380262045518797626665674183969363,0.055,,0.048,0.0675,False,False
2026-05-06,market_development,32399463532492514704194105736321137702672256221445656543482186770818301242736,0.0225,,0.0085,0.0165,False,False
2026-05-06,market_development,35543169253542485189815711943165117886008862891882079329503671323891608929432,0.31,,0.205,0.205,False,False
2026-05-06,market_development,4735497999889700551279611816021137863861557262596949053183492037902944004955,0.0015,,0.0015,0.001,False,False
2026-05-06,market_development,65885182256464323387924003229854234619260954146221741098297412674435655589975,0.0565,,0.0555,0.039,False,False
2026-05-06,market_development,95745473431801139725863149587335687614195855320380572201486646478933550996125,0.0005,,0.0005,0.0005,False,False
2026-05-07,market_development,105288523691444576042732891193048479695797432121090091225318674374936071887835,0.0075,0.012,0.0065,0.004,True,True
2026-05-07,market_development,115599336581500646640168906469423016713625690722085755365353288768494562377284,0.0005,0.0005,0.0005,0.001,True,True
2026-05-07,market_development,22768828118221560442435845865618777037856578661671837417967295939820717403825,0.39,0.375,0.375,0.205,True,True
