event_date,empirical_period,model,positions,yes_positions,no_positions,net_pnl,entry_capital,mean_gap_closed_fraction,target_hit_positions,forced_open_positions,strategy,active
2026-05-09,market_development,static,5,3,2,0.02700000000000001,1.5175,0.9288586524715695,2,3,taec11,True
2026-05-09,market_development,rbf,5,3,2,0.02700000000000001,1.5175,0.8106305642014784,2,3,taec11,True
2026-05-09,market_development,matern32,5,3,2,0.02700000000000001,1.5175,0.715005791434048,2,3,taec11,True
2026-05-10,market_development,raw,6,1,5,-0.14150000000000004,4.1905,0.12713802280589795,0,6,taec11,True
2026-05-10,market_development,static,7,4,3,-0.03750000000000006,2.6575,0.43666380283576683,2,5,taec11,True
2026-05-10,market_development,rbf,7,4,3,-0.03750000000000006,2.6575,0.48843050364266904,2,5,taec11,True
2026-05-10,market_development,matern32,7,4,3,-0.03750000000000006,2.6575,0.5146219852833522,2,5,taec11,True
2026-05-11,market_development,raw,5,1,4,0.07949999999999999,3.331,0.049877391106381376,0,5,taec11,True
2026-05-11,market_development,static,5,3,2,0.0695,1.561,0.5232640868080174,1,4,taec11,True
2026-05-11,market_development,rbf,5,3,2,0.0695,1.561,0.5420637828884125,1,4,taec11,True
2026-05-11,market_development,matern32,5,3,2,0.0695,1.561,0.5409481990196218,1,4,taec11,True
2026-05-12,market_development,raw,5,1,4,-0.23700000000000004,3.325,-0.027476641478446105,0,5,taec11,True
2026-05-12,market_development,static,2,1,1,-0.015000000000000041,0.865,-0.22415360801399514,0,2,taec11,True
2026-05-12,market_development,rbf,2,1,1,-0.015000000000000041,0.865,-0.19947256925311457,0,2,taec11,True
2026-05-12,market_development,matern32,2,1,1,-0.015000000000000041,0.865,-0.19348326667313492,0,2,taec11,True
2026-05-13,market_development,raw,5,1,4,-0.3490000000000001,3.2755,-1.064335957543505,0,5,taec11,True
2026-05-13,market_development,static,5,3,2,0.683,1.5455,-0.2124580758574554,3,2,taec11,True
2026-05-13,market_development,rbf,5,3,2,0.683,1.5455,-0.20863209108790864,3,2,taec11,True
2026-05-13,market_development,matern32,5,3,2,0.683,1.5455,-0.20915265007174177,3,2,taec11,True
2026-05-14,market_development,raw,6,1,5,-0.4099999999999999,4.5125,-0.05441449675195805,0,6,taec11,True
2026-05-14,market_development,static,5,2,3,-0.024999999999999974,2.1815,0.005575741890503449,1,4,taec11,True
2026-05-14,market_development,rbf,6,3,3,-0.12799999999999997,2.2765,-0.6371594792444931,1,5,taec11,True
2026-05-14,market_development,matern32,7,4,3,-0.175,2.334,-0.6876889397940987,1,6,taec11,True
2026-05-15,market_development,raw,4,1,3,0.007500000000000007,2.7695,-0.2120202403542062,0,4,taec11,True
2026-05-15,market_development,static,3,1,2,-0.33499999999999996,1.965,-0.7942006263890707,0,3,taec11,True
2026-05-15,market_development,rbf,3,1,2,-0.33499999999999996,1.965,-0.8086718954126179,0,3,taec11,True
2026-05-15,market_development,matern32,3,1,2,-0.33499999999999996,1.965,-0.8144320846611904,0,3,taec11,True
2026-05-16,market_development,raw,6,1,5,-0.13600000000000007,4.0545,-0.23893059087619348,0,6,taec11,True
2026-05-16,market_development,static,7,4,3,0.4159999999999999,2.452,0.5223231346670852,2,5,taec11,True
2026-05-16,market_development,rbf,7,4,3,0.4159999999999999,2.452,0.535795996933733,2,5,taec11,True
2026-05-16,market_development,matern32,7,4,3,0.4159999999999999,2.452,0.5426476106650766,2,5,taec11,True
2026-05-17,market_development,raw,6,1,5,-0.03599999999999992,4.067,-0.2743738593040104,0,6,taec11,True
2026-05-17,market_development,static,7,4,3,0.534,2.5300000000000002,0.6918001501553682,3,4,taec11,True
2026-05-17,market_development,rbf,8,4,4,0.4240000000000001,3.285,0.07334978037124107,3,5,taec11,True
2026-05-17,market_development,matern32,8,4,4,0.4240000000000001,3.285,0.11259956071421695,3,5,taec11,True
2026-05-18,market_development,raw,7,1,6,-0.13299999999999992,5.119,0.20290385378808082,0,7,taec11,True
2026-05-18,market_development,static,9,3,6,-0.029499999999999926,5.148,0.7394600182895915,2,7,taec11,True
2026-05-18,market_development,rbf,8,3,5,-0.021499999999999922,4.213,0.673383658059331,2,6,taec11,True
2026-05-18,market_development,matern32,8,3,5,-0.021499999999999922,4.213,0.6353954760348811,2,6,taec11,True
2026-05-19,market_development,raw,6,1,5,0.037999999999999916,4.2465,0.027516352526630428,0,6,taec11,True
2026-05-19,market_development,static,6,4,2,0.04949999999999989,1.655,0.5138994674704047,1,5,taec11,True
2026-05-19,market_development,rbf,6,4,2,0.04949999999999989,1.655,0.5140187898834466,1,5,taec11,True
2026-05-19,market_development,matern32,6,4,2,0.04949999999999989,1.655,0.5240497344268473,1,5,taec11,True
2026-05-22,market_development,raw,5,1,4,-0.33999999999999997,3.437,0.23166571695750277,0,5,taec11,True
